Title,Authors,Keywords,Journal,Abstract
Developing a conceptual model of small independent retailers in developing economies: the roles of embeddedness and subsistence markets,"Sarkar, Dev Narayan ;  Kundu, Kaushik ;  Chaudhuri, Himadri Roy",,"AMS review, 2016, Vol.6 (3-4), p.176-193",
Designing conceptual articles: four approaches,"Jaakkola, Elina",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (1-2), p.18-26","As a powerful means of theory building, conceptual articles are increasingly called for in marketing academia. However, researchers struggle to design and write non-empirical articles because of the lack of commonly accepted templates to guide their development. The aim of this paper is to highlight methodological considerations for conceptual papers: it is argued that such papers must be grounded in a clear research design, and that the choice of theories and their role in the analysis must be explicated and justified. The paper discusses four potential templates for conceptual papers – Theory Synthesis, Theory Adaptation, Typology, and Model – and their respective aims, approach for using theories, and contribution potential. Supported by illustrative examples, these templates codify some of the tacit knowledge that underpins the design of non-empirical papers and will be of use to anyone undertaking, supervising, or reviewing conceptual research."
"Reflections on customer-based brand equity: perspectives, progress, and priorities","Keller, Kevin Lane",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2016, Vol.6 (1-2), p.1-16","“Conceptualizing, Measuring, and Managing Customer-Based Brand Equity,” published in the
Journal of Marketing
in 1993, was one of the early thought pieces and review papers on branding in the field. Written to be a comprehensive bridge between the theory and practice of branding, it has received a large number of citations and several awards through the years. Here, I look back at that article and provide some perspective as to how it was developed, highlighting some of its main contributions. I also outline some of my subsequent related branding research, as well as that of others. Finally, I consider some future research priorities in branding, putting emphasis on the online and digital developments that have occurred since the publication of the article."
A conceptual perspective on collaborative consumption,"Ertz, Myriam ;  Durif, Fabien ;  Arcand, Manon",Business and Management ;  Collaboration ;  Consumption ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2019, Vol.9 (1-2), p.27-41","While considerable investigative work has focused on collaborative consumption (CC) from a managerial standpoint, the concept still lacks the conceptual groundwork necessary to categorize and fully understand its scopes and limits. In this article, the authors draw upon past research to delineate the construct, discuss its dimensionalities, and propose a conceptualization of CC. The CC concept is based on six key thrusts: (1) the consumer’s ability to switch sides; (2) the collaboration intensity; (3) the manner in which consumers partake in CC; (4) the transfer of ownership and use; (5) the channels used; and (6) the extended range of stakeholders in collaborative exchanges. This analytical endeavour brings to the fore the multidimensional aspect of CC, the centrality of a two-sided instead of a one-sided consumer role, and the extent to which both CC (collaborative consumption) and conventional consumption (conventional economy) are tightly interrelated."
Toward a theory of ethical consumer intention formation: re-extending the theory of planned behavior,"Sun, William",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (3-4), p.260-278","What drives consumers to purchase or not purchase ethical products remains something of a puzzle for consumer behavior researchers. Existing theory—particularly the widely applied theory of planned behavior (TPB)—cannot fully explain ethical purchase decisions. This article contends that not only is the original TPB limited in its applicability to ethical purchasing contexts but also subsequent modifications to it have been generally unfitting. This study advances the literature by taking a different approach to recharacterize and re-extend the original components of the TPB in order to make it more relevant and effective for explaining and predicting ethical consumer decisions. This new theoretical framework of intention formation features four determinants (attitude, subjective norm, moral identity, and perceived behavior control) and a key moderator (level of confidence), and thereby possesses better explanatory and predictive abilities to understand ethical consumer decisions."
Toward an integrative theory of marketing,"Parvatiyar, Atul ;  Sheth, Jagdish N.",Business and Management ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2021, Vol.11 (3-4), p.432-445","Many scholars have observed that the marketing discipline has become too fragmented and myopic, straying away from its core managerial marketing issues. To some, the complex discipline-transgressing phenomena are knowledge-producing, while for others, it is the discipline's problem of an identity crisis. This article argues that continuities and discontinuities of theoretical and methodological processes result from the contextual forces that continuously create new perspectives, paradigms, and schools of thought. Many traditional schools of marketing thought have either become obsolete or metamorphosized into new schools of thought. It has led to several theoretical advances that promise to develop into a general theory of marketing. However, none have grown into a full-blown integrative theory of marketing to tie in the various subdisciplines of marketing. We present an overall framework of marketing that could become the basis for developing an integrative theory of marketing with views relating to the core marketing processes and how the evolving contextual forces interactively impact them."
"Conducting field-based, discovery-oriented research: lessons from our market orientation research experience","Jaworski, Bernard J. ;  Kohli, Ajay K.",Business and Management ;  Market orientation ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2017, Vol.7 (1-2), p.4-12","The purpose of this article is to surface lessons we learned in course of doing our article on market orientation (Kohli and Jaworski
Journal of Marketing, 54
, 1-18
1990
). These lessons are intended to provide specific guidance for scholars – particularly PhD students and junior faculty – interested in developing new constructs and theories related to them. We organize the lessons into four sections that reflect the end-to-end research process. Specifically, the paper is organized around issues relating to: (a) choosing whether and what to study, (b) with whom to study it, (c) doing the research, and (d) crafting the findings. For each section, we identify one or more lessons or principles that we believe generalize to a broader research context. We conclude with a set of ideas for future research on market orientation, especially those that could benefit from field-based studies."
Consciousness for sustainable consumption: scale development and new insights in the economic dimension of consumers’ sustainability,"Balderjahn, Ingo ;  Buerke, Anja ;  Kirchgeorg, Manfred ;  Peyer, Mathias ;  Seegebarth, Barbara ;  Wiedmann, Klaus-Peter",Business and Management ;  Marketing ;  Social Sciences,"AMS review, 2013, Vol.3 (4), p.181-192","The “triple bottom line” concept (planet, people, and profit) represents an important guideline for the sustainable, hence future-oriented, development of societies and for the behaviors of all societal members. For institutions promoting societal change, as well as for companies being confronted with growing expectations regarding compelling contributions to sustainable changes, it is of great importance to know if, and to what extent, consumers have already internalized the idea of sustainability. Against the background of existing research gaps regarding a comprehensive measurement of the consciousness for sustainable consumption (CSC), the authors present the result of a scale development. Consciousness was operationalized by weighting personal beliefs with the importance attached by consumers to sustainability dimensions. Four separate tests of the CSC scale indicated an appropriate psychometric quality of the scale and provided support for this new measurement approach that incorporates the environmental, social and economic dimensions of sustainability."
Marketing’s theoretical and conceptual value proposition: opportunities to address marketing’s influence,"Key, Thomas Martin ;  Clark, Terry ;  Ferrell, OC ;  Stewart, David W. ;  Pitt, Leyland",Business and Management ;  Conceptual ;  Conceptual and theoretical research ;  Discipline drift ;  Discipline myopia ;  Marketing ;  Marketing influence ;  Social Sciences ;  Theory ;  Theory/Conceptual,"AMS review, 2020, Vol.10 (3-4), p.151-167","This paper is composed of scholarly essays that explore the problematic nature of marketing’s influence within the academy and organizations, potential explanations and causes, and how conceptual and theoretical research can address and move our discipline forward. Each section represents material and research developed through interactive sessions from Academy of Marketing Science conferences. Topics include the history of the marketing discipline, its innovation and loss of domain expertise; important internal and external environmental concepts that have impeded relevance and theoretical impact; foundational elements of how the discipline frames problems, provides methodological-based solutions, and influences the very subjects of our research in such a way as to lesson our contribution to scholarship and practice; and finally the discipline’s inability to understand the intangible nature of marketing activities and outcomes, as well as marketers’ struggle to articulate relevance in a way that is easily understood in the language of finance. Through this critical self-examination of the field of marketing a central premise emerged—a discipline-wide drift and myopic approach to rigor and relevance."
Service innovation is urgent in healthcare,"Berry, Leonard L.",Business and Management ;  Innovations ;  Marketing ;  Social Sciences ;  Theory/Conceptual,"AMS review, 2019, Vol.9 (1-2), p.78-92","Healthcare is a service setting where meeting the needs of customers (patients and their families) is uniquely challenging. But the necessity, complexity, cost, and high-emotion nature of the service, as well as technological advances and competitive dynamics in the industry, make the imperative for
service innovation
in healthcare especially urgent. Forward-thinking healthcare institutions around the United States are succeeding in establishing a value-creating innovation culture and in implementing operational and strategic service innovations that benefit them and their stakeholders. They view continuous innovation as a non-negotiable goal, prize institutional self-confidence, and include patients and families on the innovation team. Cancer care, in particular, faces a pressing need for service innovation, and some progressive oncology centers are demonstrating what is possible to improve the patient and family service experience. The imperatives, now, are for service innovation to become part of the fabric of how all healthcare institutions, not just the groundbreakers discussed in this article, operate—and for academics in the field of marketing to play a crucial role in that effort."
