,Journal,Exists
0,ABB Review,No
1,Academic Journal of Cancer Research,No
2,Academy of Accounting and Financial Studies Journal,Yes
3,Academy of Entrepreneurship Journal,No
4,Academy of Marketing Studies Journal,No
5,Academy of Strategic Management Journal,No
6,Accounting,No
7,Acta Bioquimica Clinica Latinoamericana,Yes
8,Acta Endoscopica,No
9,Acta Medica Nagasakiensia,No
10,Acta Pharmaceutica Hungarica,Yes
11,Acta Technica CSAV (Ceskoslovensk Akademie Ved),Yes
12,Actual Problems of Economics,No
13,Advance Journal of Food Science and Technology,Yes
14,Advanced Materials Letters,No
15,Advanced Materials Research,No
16,Advanced Science Letters,No
17,Advanced Studies in Contemporary Mathematics (Kyungshang),No
18,Advanced Studies In Theoretical Physics,No
19,Advances and Applications in Fluid Mechanics,Yes
20,Advances in Intelligent Systems and Computing,No
21,Advances in Mathematics: Scientific Journal,Yes
22,Advances in Modelling and Analysis A,No
23,Advances in Modelling and Analysis C,No
24,"Advances in Science, Technology and Engineering Systems",No
25,African Journal of Neurological Sciences,No
26,African Journal of Psychiatry (South Africa),No
27,African Journal of Traditional Complementary and Alternative Medicines,No
28,Agro Food Industry Hi-Tech,Yes
29,Air and Space Power Journal,No
30,Aktuality v Nefrologii,No
31,Aktualnosci Neurologiczne,No
32,Alergie,No
33,"AMA - Agricultural Mechanization in Asia, Africa and Latin America",No
34,American Journal of Agricultural and Biological Science,Yes
35,American Journal of Applied Sciences,No
36,American Journal of Biochemistry and Molecular Biology,No
37,American Journal of Cancer Research,No
38,American Journal of Drug Discovery and Development,No
39,American Journal of Engineering and Applied Sciences,No
40,American Journal of Environmental Sciences,No
41,American Journal of Food Technology,Yes
42,American Journal of Heat and Mass Transfer,No
43,American Journal of Immunology,No
44,American Journal of Infectious Diseases,No
45,American Journal of Neurodegenerative Disease,No
46,American Journal of Pharmacology and Toxicology,Yes
47,American Journal of Plant Physiology,Yes
48,American Journal of Semiotics,No
49,American Journal of Stem Cells,No
50,American Journal of Translational Research,No
51,Analecta Bollandiana,No
