,Journals,Journal Exists
0,ABB Review,NaN
1,Academic Journal of Cancer Research,NaN
2,Academy of Accounting and Financial Studies Journal,NaN
3,Academy of Entrepreneurship Journal,NaN
4,Academy of Marketing Studies Journal,NaN
5,Academy of Strategic Management Journal,NaN
6,Accounting,NaN
7,Acta Bioquimica Clinica Latinoamericana,NaN
8,Acta Endoscopica,NaN
9,Acta Medica Nagasakiensia,NaN
10,Acta Pharmaceutica Hungarica,NaN
11,Acta Technica CSAV (Ceskoslovensk Akademie Ved),NaN
12,Actual Problems of Economics,NaN
13,Advance Journal of Food Science and Technology,NaN
14,Advanced Materials Letters,NaN
15,Advanced Materials Research,NaN
16,Advanced Science Letters,NaN
17,Advanced Studies in Contemporary Mathematics (Kyungshang),NaN
18,Advanced Studies In Theoretical Physics,NaN
19,Advances and Applications in Fluid Mechanics,NaN
20,Advances in Intelligent Systems and Computing,NaN
21,Advances in Mathematics: Scientific Journal,NaN
22,Advances in Modelling and Analysis A,NaN
23,Advances in Modelling and Analysis C,NaN
24,"Advances in Science, Technology and Engineering Systems",NaN
25,African Journal of Neurological Sciences,NaN
26,African Journal of Psychiatry (South Africa),NaN
27,African Journal of Traditional Complementary and Alternative Medicines,NaN
28,Agro Food Industry Hi-Tech,NaN
29,Air and Space Power Journal,NaN
30,Aktuality v Nefrologii,NaN
31,Aktualnosci Neurologiczne,NaN
32,Alergie,NaN
33,"AMA - Agricultural Mechanization in Asia, Africa and Latin America",NaN
34,American Journal of Agricultural and Biological Science,NaN
35,American Journal of Applied Sciences,NaN
36,American Journal of Biochemistry and Molecular Biology,NaN
37,American Journal of Cancer Research,NaN
38,American Journal of Drug Discovery and Development,NaN
39,American Journal of Engineering and Applied Sciences,NaN
40,American Journal of Environmental Sciences,NaN
41,American Journal of Food Technology,NaN
42,American Journal of Heat and Mass Transfer,NaN
43,American Journal of Immunology,NaN
44,American Journal of Infectious Diseases,NaN
45,American Journal of Neurodegenerative Disease,NaN
46,American Journal of Pharmacology and Toxicology,NaN
47,American Journal of Plant Physiology,NaN
48,American Journal of Semiotics,NaN
49,American Journal of Stem Cells,NaN
50,American Journal of Translational Research,NaN
51,Analecta Bollandiana,NaN
52,Anales de Documentacion,NaN
53,Anales de la Real Academia Nacional de Farmacia,NaN
54,Anales Venezolanos de Nutricion,NaN
55,Annals of the Romanian Society for Cell Biology,NaN
56,Annals of Translational Medicine,NaN
57,Annals of Tropical Medicine and Public Health,NaN
58,Annual Research and Review in Biology,NaN
59,Anthropologist,NaN
60,Applied Mathematical Sciences,NaN
61,Applied Mechanics and Materials,NaN
62,Arabian Journal of Geosciences,NaN
63,Archiv fur Kriminologie,NaN
64,Archives of Clinical Microbiology,NaN
65,Archivos de Medicina,NaN
66,Archivos Venezolanos de Farmacología y Terapeutica,NaN
67,Ars Pharmaceutica,NaN
68,Asia Life Sciences,NaN
69,Asian Agri-History,NaN
70,Asian EFL Journal,NaN
71,Asian ESP Journal,NaN
72,Asian Journal of Agricultural Research,NaN
73,Asian Journal of Animal and Veterinary Advances,NaN
74,Asian Journal of Animal Sciences,NaN
75,Asian Journal of Applied Sciences,NaN
76,Asian Journal of Biochemistry,NaN
77,Asian Journal of Cell Biology,NaN
78,Asian Journal of Clinical Nutrition,NaN
79,Asian Journal of Crop Science,NaN
80,Asian Journal of Earth Sciences,NaN
81,Asian Journal of Epidemiology,NaN
82,Asian Journal of Information Technology,NaN
83,"Asian Journal of Microbiology, Biotechnology and Environmental Sciences",NaN
84,Asian Journal of Pharmaceutical and Clinical Research,NaN
85,Asian Journal of Pharmaceutical Research and Health Care,NaN
86,Asian Journal of Pharmaceutics,NaN
87,Asian Journal of Plant Pathology,NaN
88,Asian Journal of Poultry Science,NaN
89,Asian Journal of Scientific Research,NaN
90,Asian Social Science,NaN
91,AStA Wirtschafts- und Sozialstatistisches Archiv,NaN
92,Atti della Societa Toscana di Scienze Naturali,NaN
93,Aufbereitungs-Technik,NaN
94,Australasian Medical Journal,NaN
95,Australian Entomologist,NaN
96,Australian Field Ornithology,NaN
97,BAG - Journal of Basic and Applied Genetics,NaN
98,Bangladesh Journal of Plant Taxonomy,NaN
