Source Title (newly added titles are highlighted in red),Print-ISSN,E-ISSN,,,,,,,,,,
ABB Review,10133119,,,,,,,,,,,
Academic Journal of Cancer Research,19958943,,,,,,,,,,,
Academy of Accounting and Financial Studies Journal,10963685,,,,,,,,,,,
Academy of Entrepreneurship Journal,10879595,15282686,,,,,,,,,,
Academy of Management Discoveries,2168-1007,,,,,,,,,,,
Academy of Marketing Studies Journal,10956298,15282678,,,,,,,,,,
Academy of Strategic Management Journal,15441458,19396104,,,,,,,,,,
Accounting,23697393,23697407,,,,,,,,,,
Acta Bioquimica Clinica Latinoamericana,03252957,18516114,,,,,,,,,,
Acta Endoscopica,0240642X,19585454,,,,,,,,,,
Acta Medica Nagasakiensia,00016055,,,,,,,,,,,
Acta Pharmaceutica Hungarica,00016659,15871495,,,,,,,,,,
Acta Technica CSAV (Ceskoslovensk Akademie Ved),00017043,,,,,,,,,,,
Actual Problems of Economics,19936788,,,,,,,,,,,
Advance Journal of Food Science and Technology,20424868,20424876,,,,,,,,,,
Advanced Materials Letters,09763961,0976397X,,,,,,,,,,
Advanced Materials Research,10226680,16628985,,,,,,,,,,
Advanced Science Letters,19366612,19367317,,,,,,,,,,
Advanced Studies in Contemporary Mathematics (Kyungshang),12293067,25087908,,,,,,,,,,
Advanced Studies In Theoretical Physics,13131311,13147609,,,,,,,,,,
Advances and Applications in Fluid Mechanics,09734686,,,,,,,,,,,
Advances in Intelligent Systems and Computing,21945357,21945365,,,,,,,,,,
Advances in Mathematics: Scientific Journal,18578365,18578438,,,,,,,,,,
Advances in Modelling and Analysis A,12585769,,,,,,,,,,,
Advances in Modelling and Analysis C,12404535,,,,,,,,,,,
"Advances in Science, Technology and Engineering Systems",,24156698,,,,,,,,,,
African Journal of Neurological Sciences,10158618,19922647,,,,,,,,,,
African Journal of Psychiatry (South Africa),19948220,,,,,,,,,,,
African Journal of Traditional Complementary and Alternative Medicines,01896016,25050044,,,,,,,,,,
Agro Food Industry Hi-Tech,17226996,20354606,,,,,,,,,,
AIB Insights,1938-9590,,,,,,,,,,
Air and Space Power Journal,1555385X,15542505,,,,,,,,,,
Aktuality v Nefrologii,1210955X,12133248,,,,,,,,,,
Aktualnosci Neurologiczne,16419227,24510696,,,,,,,,,,
Alergie,12123536,1212687X,,,,,,,,,,
"AMA - Agricultural Mechanization in Asia, Africa and Latin America",00845841,,,,,,,,,,,
American Journal of Agricultural and Biological Science,15574989,15574997,,,,,,,,,,
American Journal of Applied Sciences,15469239,15543641,,,,,,,,,,
American Journal of Biochemistry and Molecular Biology,21504210,21504253,,,,,,,,,,
American Journal of Cancer Research,,21566976,,,,,,,,,,
American Journal of Drug Discovery and Development,2150427X,21504296,,,,,,,,,,
American Journal of Engineering and Applied Sciences,,19417039,,,,,,,,,,
American Journal of Environmental Sciences,1553345X,15583910,,,,,,,,,,
American Journal of Food Technology,15574571,1557458X,,,,,,,,,,
